"WORD","COUNT"
"glazed","253"
"suite","252"
"shop","248"
"will","245"
"three","243"
"creation","242"
"wood","238"
"certificate","236"
"main","233"
"block","232"
"pursuant","232"
"resubmission","232"
"method","229"
"living","228"
"retail","228"
"metres","227"
"details","226"
"drainage","226"
"build","224"
"refurbishment","223"
"houses","221"
"open","216"
"addition","213"
"equipment","213"
"facilities","213"
"walls","213"
"lounge","212"
"pole","212"
"fence","210"
"small","210"
"cottage","204"
"hall","200"
"comprising","197"
"line","197"
"public","197"
"lime","196"
"mounted","196"
"scheme","195"
"minor","194"
"adjacent","193"
"description","192"
"include","192"
"four","191"
"plant","191"
"panels","190"
"thin","190"
"bedrooms","188"
"station","188"
"supplemented","188"
"back","187"
"internally","187"
"cherry","183"
"install","183"
"outbuilding","182"
"reduction","180"
"canopy","179"
"private","178"
"extend","175"
"vehicular","175"
"alteration","174"
"gable","174"
"lighting","171"
"cabinet","170"
"highways","170"
"balcony","169"
"structure","168"
"signage","167"
"portal","166"
"temporary","165"
"barn","164"
"approximately","163"
"infrastructure","162"
"management","161"
"used","159"
"attached","156"
"garages","154"
"highway","154"
"lean","154"
"work","154"
"school","153"
"shower","152"
"loft","151"
"match","151"
"family","150"
"general","149"
"chimney","148"
"relocation","146"
"wind","146"
"prune","144"
"workshop","143"
"elevations","142"
"information","142"
"system","142"
"treatment","142"
"opening","141"
"sunroom","139"
"concrete","138"
"facility","138"
"demolish","137"
"solar","137"
"lawful","136"
"redundant","136"
"stable","136"
"repairs","135"
"revised","135"
"which","134"
"wooden","134"
"original","131"
"overhead","131"
"time","131"
"repair","128"
"boiler","127"
"design","127"
"raise","127"
"apartments","126"
"flue","126"
"purpose","125"
"aluminium","124"
"formation","124"
"plot","123"
"dead","122"
"orangery","121"
"outbuildings","120"
"centre","119"
"along","118"
"deadwood","118"
"frame","118"
"broadband","117"
"facing","116"
"driveway","115"
"restoration","115"
"rooflights","115"
"birch","114"
"other","114"
"spaces","114"
"drawings","113"
"light","112"
"link","112"
"plots","112"
"self","112"
"branch","111"
"slate","111"
"yard","110"
"between","109"
"pitch","109"
"rebuild","109"
"affordable","108"
"cafe","108"
"chestnut","108"
"lights","108"
"lower","108"
"second","106"
"street","106"
"areas","105"
"brick","104"
"increase","104"
"turbine","104"
"full","103"
"horse","103"
"service","103"
"domestic","102"
"gate","101"
"home","101"
"protected","101"
"relates","101"
"together","101"
"toilet","101"
"curtilage","100"
"drive","100"
"flood","100"
"hard","100"
"email","99"
"rooms","99"
"speed","99"
"terrace","99"
"under","98"
"semi","97"
"antennas","96"
"flats","96"
"lawfulness","96"
"number","96"
"report","96"
"submission","96"
"also","95"
"changes","95"
"projecting","95"
"amendments","94"
"field","94"
"render","94"
"sash","94"
"business","93"
"fire","93"
"housing","93"
"improvements","93"
"location","93"
"cypress","92"
"felling","92"
"gates","92"
"velux","92"
"bungalows","91"
"study","91"
"fencing","90"
"track","90"
"landscape","88"
"appearance","87"
"lobby","87"
"replaced","87"
"cladding","86"
"holly","86"
"properties","85"
"upgrade","85"
"upvc","85"
"externally","84"
"screening","84"
"type","84"
"caravan","83"
"hanging","83"
"offices","83"
"previously","83"
"base","82"
"glass","82"
"overhanging","82"
"restaurant","82"
"footpath","81"
"glazing","81"
"hotel","81"
"metre","81"
"pine","81"
"removed","81"
"stables","81"
"style","81"
"electricity","80"
"larger","80"
"maintenance","80"
"panel","80"
"retaining","80"
"turning","80"
"vehicle","80"
"limit","79"
"some","79"
"studio","79"
"clearance","78"
"cottages","78"
"erect","78"
"mast","78"
"only","78"
"protection","78"
"reference","78"
"this","78"
"aerial","77"
"construct","77"
"hedge","77"
"levels","77"
"size","77"
"biomass","76"
"cycle","76"
"disabled","76"
"mature","76"
"noise","76"
"partial","76"
"redevelopment","76"
"scale","76"
"standing","76"
"accommodate","75"
"current","75"
"modern","75"
"plus","75"
"mixed","74"
"more","74"
"retention","74"
"compound","73"
"engineering","73"
"five","73"
"integral","73"
"ramp","73"
"section","73"
"siting","73"
"substation","73"
"ensuite","72"
"following","72"
"phase","72"
"play","72"
"refuse","72"
"same","72"
"that","72"
"tower","72"
"built","71"
"convert","71"
"hardstanding","71"
"improve","71"
"limb","71"
"amend","70"
"drawing","70"
"large","70"
"onto","70"
"place","70"
"conductor","69"
"dwellinghouse","69"
"extended","69"
"further","69"
"half","69"
"pedestrian","69"
"staircase","69"
"board","68"
"willow","68"
"bedroomed","67"
"decking","67"
"incorporating","67"
"maximum","67"
"openings","67"
"previous","67"
"raised","67"
"separate","67"
"contamination","66"
"display","66"
"extraction","66"
"grade","66"
"planting","66"
"tank","66"
"through","66"
"food","65"
"limbs","65"
"livestock","65"
"ecology","64"
"free","64"
"insertion","64"
"amenity","63"
"antenna","63"
"foul","63"
"located","63"
"poles","63"
"pruning","63"
"relation","63"
"replacing","63"
"silver","63"
"sports","63"
"around","62"
"substitution","62"
"approx","61"
"control","61"
"down","61"
"each","61"
"enlarged","61"
"industrial","61"
"machinery","61"
"post","61"
"sliding","61"
"care","60"
"consisting","60"
"covered","60"
"footprint","60"
"pool","60"
"reconfiguration","60"
"using","60"
"church","59"
"position","59"
"structures","59"
"underground","59"
"clean","58"
"club","58"
"assessment","57"
"bunched","57"
"contained","57"
"dish","57"
"implementation","57"
"patio","57"
"traditional","57"
"various","57"
"archaeological","56"
"classroom","56"
"coal","56"
"disposal","56"
"enclosure","56"
"gardens","56"
"hedgerow","56"
"mortar","56"
"staff","56"
"annex","55"
"commercial","55"
"courtyard","55"
"farmhouse","55"
"opinion","55"
"permanent","55"
"tiled","55"
"bridge","54"
"community","54"
"conductors","54"
"dated","54"
"dormers","54"
"eaves","54"
"estate","54"
"extant","54"
"greenhouse","54"
"heating","54"
"premises","54"
"providing","54"
"rene","54"
"shading","54"
"supporting","54"
"survey","54"
"breakfast","53"
"fixed","53"
"leisure","53"
"multi","53"
"soft","53"
"structural","53"
"stud","53"
"upper","53"
"appeal","52"
"attic","52"
"changing","52"
"leylandii","52"
"maple","52"
"pitches","52"
"rebuilding","52"
"rooflight","52"
"sewage","52"
"stove","52"
"conifer","51"
"creating","51"
"lane","51"
"services","51"
"stem","51"
"sycamores","51"
"tiles","51"
"types","51"
"have","50"
"period","50"
"supply","50"
"waste","50"
"basement","49"
"both","49"
"fireplace","49"
"floors","49"
"hours","49"
"metal","49"
"roads","49"
"telecommunications","49"
"white","49"
"cable","48"
"colour","48"
"photovoltaic","48"
"stonework","48"
"energy","47"
"exterior","47"
"frames","47"
"grounds","47"
"health","47"
"installed","47"
"make","47"
"mitigation","47"
"outdoor","47"
"outhouse","47"
"pollard","47"
"raising","47"
"reinstatement","47"
"renovation","47"
"required","47"
"risk","47"
"adjoining","46"
"annexe","46"
"central","46"
"covering","46"
"extract","46"
"improved","46"
"logo","46"
"port","46"
"shelter","46"
"total","46"
"vacant","46"
"cabin","45"
"cabinets","45"
"close","45"
"french","45"
"green","45"
"measuring","45"
"numbers","45"
"project","45"
"story","45"
"submitted","45"
"vehicles","45"
"where","45"
"alter","44"
"long","44"
"reduced","44"
"removing","44"
"ridge","44"
"sales","44"
"surround","44"
"swimming","44"
"turbines","44"
"years","44"
"apparatus","43"
"copper","43"
"currently","43"
"disused","43"
"growth","43"
"guest","43"
"infill","43"
"masonry","43"
"roofs","43"
"steps","43"
"clad","42"
"crossing","42"
"generis","42"
"like","42"
"notice","42"
"overall","42"
"partition","42"
"roofed","42"
"roofing","42"
"samples","42"
"screen","42"
"shape","42"
"varccm","42"
"wide","42"
"below","41"
"dishes","41"
"generate","41"
"give","41"
"lawson","41"
"reconstruction","41"
"safety","41"
"sample","41"
"scots","41"
"stack","41"
"than","41"
"clear","40"
"heat","40"
"kiosk","40"
"point","40"
"renewal","40"
"request","40"
"static","40"
"western","40"
"workers","40"
"apple","39"
"connection","39"
"electrical","39"
"natural","39"
"paddock","39"
"power","39"
"voltage","39"
"archaeology","38"
"cabling","38"
"extra","38"
"group","38"
"homes","38"
"lettering","38"
"means","38"
"neighbouring","38"
"perimeter","38"
"remaining","38"
"repositioning","38"
"respect","38"
"species","38"
"support","38"
"take","38"
"takeaway","38"
"totem","38"
"warehouse","38"
"arena","37"
"arrangement","37"
"been","37"
"damaged","37"
"enlarge","37"
"excessive","37"
"granny","37"
"lattice","37"
"lead","37"
"modifications","37"
"purposes","37"
"serve","37"
"shopfront","37"
"throughout","37"
"training","37"
"transformer","37"
"across","36"
"added","36"
"damage","36"
"diameter","36"
"fenestration","36"
"fuel","36"
"lodge","36"
"lowest","36"
"measures","36"
"occupancy","36"
"accessible","35"
"accordance","35"
"bird","35"
"burning","35"
"enable","35"
"larch","35"
"village","35"
"walled","35"
"wire","35"
"court","34"
"facade","34"
"forming","34"
"freestanding","34"
"master","34"
"morpeth","34"
"northern","34"
"northumberland","34"
"operational","34"
"outside","34"
"plum","34"
"remodelling","34"
"repointing","34"
"toilets","34"
"tonnes","34"
"boxes","33"
"coach","33"
"division","33"
"except","33"
"extending","33"
"finish","33"
"goods","33"
"hipped","33"
"poplar","33"
"radio","33"
"strategy","33"
"straw","33"
"town","33"
"balance","32"
"based","32"
"constructed","32"
"garaging","32"
"habitable","32"
"lodges","32"
"membrane","32"
"modular","32"
"painted","32"
"paving","32"
"range","32"
"sided","32"
"sitting","32"
"spruce","32"
"traffic","32"
"upon","32"
"vinyl","32"
"caravans","31"
"doorway","31"
"enlargement","31"
"facilitate","31"
"hybrid","31"
"monopole","31"
"reshape","31"
"roundabout","31"
"rowan","31"
"schedule","31"
"security","31"
"shown","31"
"would","31"
"boards","30"
"ccmeia","30"
"container","30"
"delivery","30"
"detail","30"
"dilapidated","30"
"dwellinghouses","30"
"equestrian","30"
"head","30"
"incorporate","30"
"kerb","30"
"mono","30"
"path","30"
"pipe","30"
"remediation","30"
"transmission","30"
"apartment","29"
"april","29"
"blocks","29"
"comprise","29"
"defence","29"
"eastern","29"
"grass","29"
"partitions","29"
"pavilion","29"
"propose","29"
"railings","29"
"sandstone","29"
"slope","29"
"stock","29"
"stores","29"
"surrounding","29"
"treatments","29"
"ventilation","29"
"width","29"
"advertising","28"
"arrangements","28"
"bank","28"
"being","28"
"black","28"
"cement","28"
"detailed","28"
"enclosed","28"
"erecting","28"
"golf","28"
"hoarding","28"
"iron","28"
"junction","28"
"phasing","28"
"pointing","28"
"pump","28"
"sides","28"
"smaller","28"
"towards","28"
"tracks","28"
"appropriate","27"
"cattle","27"
"ceiling","27"
"complete","27"
"electronic","27"
"epicormic","27"
"escape","27"
"function","27"
"june","27"
"nursery","27"
"permissions","27"
"points","27"
"profile","27"
"sale","27"
"array","26"
"carport","26"
"case","26"
"cast","26"
"compliance","26"
"corner","26"
"dust","26"
"finishes","26"
"growing","26"
"hawthorn","26"
"introduction","26"
"investigation","26"
"lantern","26"
"letters","26"
"lieu","26"
"pumping","26"
"railway","26"
"reception","26"
"renew","26"
"resulting","26"
"riding","26"
"river","26"
"tanks","26"
"uses","26"
"visitor","26"
"barns","25"
"casement","25"
"derelict","25"
"fabric","25"
"football","25"
"gravel","25"
"grey","25"
"increased","25"
"insulated","25"
"july","25"
"mine","25"
"modification","25"
"occupation","25"
"person","25"
"quarry","25"
"relocate","25"
"thinning","25"
"wash","25"
"widening","25"
"annexed","24"
"applicant","24"
"canopies","24"
"cedar","24"
"coated","24"
"coffee","24"
"customer","24"
"damp","24"
"hand","24"
"includes","24"
"insulation","24"
"library","24"
"mail","24"
"mining","24"
"necessary","24"
"norway","24"
"permitted","24"
"plastic","24"
"projector","24"
"replant","24"
"seating","24"
"shall","24"
"stair","24"
"thru","24"
"travel","24"
"acoustic","23"
"activity","23"
"away","23"
"bathrooms","23"
"brickwork","23"
"chapel","23"
"combined","23"
"cover","23"
"demolished","23"
"ecological","23"
"fules","23"
"grain","23"
"historic","23"
"laundry","23"
"march","23"
"market","23"
"matching","23"
"menage","23"
"mobile","23"
"november","23"
"operation","23"
"palisade","23"
"piers","23"
"pipework","23"
"provided","23"
"route","23"
"safe","23"
"secondary","23"
"shared","23"
"spans","23"
"subdivision","23"
"workshops","23"
"alder","22"
"bays","22"
"blue","22"
"clinic","22"
"completion","22"
"conditioning","22"
"deck","22"
"distribution","22"
"either","22"
"emergency","22"
"fitness","22"
"hospital","22"
"platform","22"
"posts","22"
"practice","22"
"prevent","22"
"proposals","22"
"reinstate","22"
"retain","22"
"sections","22"
"seeking","22"
"similar","22"
"slates","22"
"sought","22"
"southern","22"
"stairs","22"
"suds","22"
"supplementary","22"
"year","22"
"accomodation","21"
"altered","21"
"because","21"
"cables","21"
"face","21"
"filling","21"
"finished","21"
"foundations","21"
"fully","21"
"gallery","21"
"games","21"
"impact","21"
"left","21"
"local","21"
"months","21"
"october","21"
"playroom","21"
"poor","21"
"positions","21"
"programme","21"
"rainwater","21"
"recycling","21"
"revision","21"
"rubbing","21"
"sand","21"
"shorten","21"
"specification","21"
"strip","21"
"suitable","21"
"summer","21"
"terraced","21"
"triple","21"
"upgrading","21"
"whitebeam","21"
"wing","21"
"acer","20"
"already","20"
"average","20"
"barrier","20"
"blade","20"
"brackets","20"
"column","20"
"communications","20"
"converted","20"
"downstairs","20"
"elder","20"
"feature","20"
"hallway","20"
"householder","20"
"kennels","20"
"meeting","20"
"offshoot","20"
"plaster","20"
"pods","20"
"requirements","20"
"satellite","20"
"showroom","20"
"surgery","20"
"vary","20"
"weather","20"
"worker","20"
"agent","19"
"behind","19"
"blyth","19"
"cctv","19"
"children","19"
"cleaning","19"
"cloakroom","19"
"containing","19"
"course","19"
"december","19"
"encroaching","19"
"feed","19"
"fittings","19"
"handling","19"
"individual","19"
"inside","19"
"january","19"
"leaning","19"
"maintain","19"
"micro","19"
"mill","19"
"operate","19"
"petrol","19"
"police","19"
"projection","19"
"relocated","19"
"rendering","19"
"restriction","19"
"sustainable","19"
"vertical","19"
"walkway","19"
"well","19"
"august","18"
"chalets","18"
"changed","18"
"classrooms","18"
"conifers","18"
"consist","18"
"dismantle","18"
"dressing","18"
"electric","18"
"environmental","18"
"exit","18"
"footway","18"
"forward","18"
"frontage","18"
"galvanised","18"
"grooming","18"
"indicated","18"
"juliet","18"
"known","18"
"lets","18"
"leyland","18"
"network","18"
"operations","18"
"restore","18"
"retained","18"
"revisions","18"
"right","18"
"scoping","18"
"stand","18"
"surfacing","18"
"tall","18"
"wedding","18"
"wheel","18"
"assembly","17"
"avenue","17"
"burn","17"
"capacity","17"
"council","17"
"date","17"
"diner","17"
"directional","17"
"edge","17"
"fagus","17"
"features","17"
"fences","17"
"footpaths","17"
"future","17"
"illumination","17"
"length","17"
"linked","17"
"meter","17"
"move","17"
"near","17"
"pellet","17"
"playing","17"
"production","17"
"prunus","17"
"septic","17"
"sheds","17"
"social","17"
"source","17"
"span","17"
"stacks","17"
"stems","17"
"stump","17"
"summerhouse","17"
"sylvatica","17"
"touring","17"
"vent","17"
"venue","17"
"welfare","17"
"working","17"
"allowed","16"
"asbestos","16"
"blocking","16"
"classes","16"
"communal","16"
"containers","16"
"convenience","16"
"country","16"
"crane","16"
"cross","16"
"crowns","16"
"cutting","16"
"deliveries","16"
"doctors","16"
"elements","16"
"erected","16"
"felt","16"
"floorspace","16"
"good","16"
"grid","16"
"landing","16"
"lintel","16"
"mezzanine","16"
"parlour","16"
"personal","16"
"pipes","16"
"possible","16"
"rail","16"
"remain","16"
"roller","16"
"secure","16"
"servicing","16"
"sheep","16"
"silage","16"
"soil","16"
"solid","16"
"stemmed","16"
"subject","16"
"suit","16"
"trim","16"
"trunk","16"
"twin","16"
"unused","16"
"updated","16"
"value","16"
"very","16"
"view","16"
"visibility","16"
"artificial","15"
"balconies","15"
"causing","15"
"cill","15"
"clubhouse","15"
"communication","15"
"cream","15"
"created","15"
"dismantling","15"
"drop","15"
"february","15"
"felled","15"
"fenced","15"
"fields","15"
"gateway","15"
"generator","15"
"granted","15"
"grazing","15"
"gutter","15"
"guttering","15"
"handrail","15"
"hardstandings","15"
"heritage","15"
"hill","15"
"improvement","15"
"inclusion","15"
"laburnum","15"
"layouts","15"
"letter","15"
"lines","15"
"logos","15"
"machine","15"
"menu","15"
"name","15"
"parapet","15"
"parts","15"
"processing","15"
"reconfigured","15"
"rent","15"
"repeater","15"
"residence","15"
"roots","15"
"sashes","15"
"seeks","15"
"shutter","15"
"stainless","15"
"stythe","15"
"terminal","15"
"tractor","15"
"walk","15"
"walling","15"
"wansbeck","15"
"accompanying","14"
"acrylic","14"
"agreement","14"
"alleviation","14"
"biodiversity","14"
"boot","14"
"bottom","14"
"byre","14"
"camping","14"
"caretakers","14"
"carry","14"
"columns","14"
"company","14"
"condenser","14"
"configuration","14"
"conjunction","14"
"contemporary","14"
"dangerous","14"
"depot","14"
"diseased","14"
"diversion","14"
"dutch","14"
"effect","14"
"employment","14"
"extractor","14"
"fitted","14"
"hexham","14"
"identified","14"
"indoor","14"
"joinery","14"
"lawn","14"
"letting","14"
"linking","14"
"lintels","14"
"live","14"
"lowering","14"
"memorial","14"
"monitoring","14"
"nord","14"
"package","14"
"painting","14"
"paved","14"
"pillars","14"
"playground","14"
"plinth","14"
"portico","14"
"reducing","14"
"related","14"
"remote","14"
"rendered","14"
"rotten","14"
"round","14"
"salon","14"
"showing","14"
"split","14"
"square","14"
"thereto","14"
"thermal","14"
"third","14"
"tourist","14"
"tozzi","14"
"unlisted","14"
"upstairs","14"
"verge","14"
"widen","14"
"wider","14"
"young","14"
"additions","13"
"anemometer","13"
"balustrade","13"
"beauty","13"
"become","13"
"bothy","13"
"carried","13"
"cars","13"
"catering","13"
"commencement","13"
"common","13"
"connect","13"
"contaminated","13"
"cricket","13"
"cupboard","13"
"drain","13"
"drinking","13"
"during","13"
"entrances","13"
"fascias","13"
"fired","13"
"forestry","13"
"gases","13"
"larder","13"
"laying","13"
"learning","13"
"locations","13"
"made","13"
"managers","13"
"meteorological","13"
"moving","13"
"newton","13"
"nine","13"
"obscure","13"
"omni","13"
"opposite","13"
"passing","13"
"paths","13"
"poster","13"
"potting","13"
"prefabricated","13"
"primary","13"
"professional","13"
"ramped","13"
"recording","13"
"redecoration","13"
"reposition","13"
"rock","13"
"september","13"
"seven","13"
"sheltered","13"
"spread","13"
"systems","13"
"there","13"
"those","13"
"tile","13"
"wires","13"
"wording","13"
"accesses","12"
"address","12"
"alnwick","12"
"beds","12"
"bistro","12"
"blocked","12"
"boundaries","12"
"cash","12"
"childrens","12"
"circa","12"
"circulation","12"
"cold","12"
"condensers","12"
"corbridge","12"
"county","12"
"dental","12"
"depth","12"
"dropped","12"
"eight","12"
"exchange","12"
"factory","12"
"financial","12"
"flag","12"
"flagpole","12"
"floodlighting","12"
"floodlights","12"
"formerly","12"
"framework","12"
"furniture","12"
"generating","12"
"hold","12"
"horizontal","12"
"involving","12"
"less","12"
"lidl","12"
"lining","12"
"loading","12"
"modify","12"
"omission","12"
"omit","12"
"overhang","12"
"owners","12"
"pane","12"
"polycarbonate","12"
"portable","12"
"protective","12"
"provisions","12"
"recreational","12"
"rural","12"
"selective","12"
"sets","12"
"shoot","12"
"sited","12"
"sloping","12"
"standard","12"
"steading","12"
"supported","12"
"sympathetic","12"
"tennis","12"
"verification","12"
"void","12"
"volume","12"
"adding","11"
"adoption","11"
"advertisment","11"
"agreed","11"
"alone","11"
"alternative","11"
"apply","11"
"approach","11"
"arms","11"
"automated","11"
"bath","11"
"boarding","11"
"bracket","11"
"brewery","11"
"cabins","11"
"carriageway","11"
"cavity","11"
"ceilings","11"
"cills","11"
"clamp","11"
"collection","11"
"condtion","11"
"condtions","11"
"corridor","11"
"decay","11"
"decision","11"
"dying","11"
"elderly","11"
"element","11"
"enhanced","11"
"events","11"
"facia","11"
"foundation","11"
"fruit","11"
"gatehouse","11"
"gutters","11"
"hardcore","11"
"headframe","11"
"independent","11"
"installing","11"
"intrusive","11"
"lateral","11"
"lifting","11"
"loose","11"
"modified","11"
"mtrs","11"
"need","11"
"next","11"
"outer","11"
"overnight","11"
"paint","11"
"pits","11"
"porches","11"
"portacabin","11"
"potential","11"
"powder","11"
"proximity","11"
"refer","11"
"residents","11"
"review","11"
"revise","11"
"root","11"
"several","11"
"sheet","11"
"shelters","11"
"short","11"
"slim","11"
"stay","11"
"stepped","11"
"stop","11"
"synthetic","11"
"telephone","11"
"term","11"
"their","11"
"these","11"
"washing","11"
"welcome","11"
"wheelchair","11"
"woodland","11"
"accommodating","10"
"administration","10"
"advert","10"
"against","10"
"apart","10"
"arboricultural","10"
"authority","10"
"awnings","10"
"bundled","10"
"continued","10"
"correct","10"
"dance","10"
"displays","10"
"dslam","10"
"earth","10"
"education","10"
"elec","10"
"enhancement","10"
"enterprise","10"
"eroded","10"
"essential","10"
"fibre","10"
"fish","10"
"fishing","10"
"fitting","10"
"flooding","10"
"fold","10"
"folding","10"
"foodstore","10"
"gain","10"
"gated","10"
"grassed","10"
"greenhouses","10"
"hectares","10"
"hedges","10"
"heights","10"
"hobby","10"
"holding","10"
"hydrotherapy","10"
"integrated","10"
"interpretation","10"
"lake","10"
"lanterns","10"
"mary","10"
"meadow","10"
"megawatt","10"
"mesh","10"
"modelling","10"
"mrveia","10"
"nearby","10"
"observatory","10"
"olive","10"
"partially","10"
"places","10"
"plants","10"
"plaque","10"
"pond","10"
"present","10"
"prudhoe","10"
"pylon","10"
"recessed","10"
"reclaimed","10"
"refused","10"
"relate","10"
"remedial","10"
"reneia","10"
"renewable","10"
"repoint","10"
"requirement","10"
"rotor","10"
"sewerage","10"
"sheets","10"
"silo","10"
"slab","10"
"slight","10"
"slimline","10"
"sorbus","10"
"stones","10"
"stored","10"
"storm","10"
"stripping","10"
"suites","10"
"suspended","10"
"tack","10"
"tankerville","10"
"then","10"
"totalling","10"
"townhouses","10"
"transformers","10"
"trenching","10"
"trusses","10"
"villa","10"
"walwick","10"
"widened","10"
"wild","10"
"achieve","9"
"adaptation","9"
"agriculture","9"
"animal","9"
"applied","9"
"arts","9"
"association","9"
"bales","9"
"bedded","9"
"birds","9"
"blockwork","9"
"borrow","9"
"broken","9"
"bulk","9"
"bund","9"
"bunk","9"
"businesses","9"
"cameras","9"
"castle","9"
"category","9"
"chalet","9"
"chimneys","9"
"code","9"
"connecting","9"
"contain","9"
"corsican","9"
"dark","9"
"embankment","9"
"english","9"
"ensure","9"
"entry","9"
"environment","9"
"establish","9"
"excavation","9"
"excelsior","9"
"expose","9"
"final","9"
"fireclay","9"
"flowering","9"
"flues","9"
"footbridge","9"
"foyer","9"
"greater","9"
"gross","9"
"halo","9"
"harbour","9"
"haulage","9"
"holidays","9"
"horses","9"
"hsbc","9"
"implement","9"
"inlet","9"
"insert","9"
"instead","9"
"intention","9"
"involves","9"
"island","9"
"issue","9"
"kingspan","9"
"laterals","9"
"leading","9"
"leaf","9"
"lynemouth","9"
"manager","9"
"mineral","9"
"monopitch","9"
"month","9"
"movements","9"
"nesting","9"
"occupied","9"
"ownership","9"
"pergola","9"
"pharmacy","9"
"poultry","9"
"pruned","9"
"pvcu","9"
"random","9"
"realignment","9"
"regulations","9"
"retractable","9"
"roadside","9"
"salt","9"
"screens","9"
"serving","9"
"shaped","9"
"signboard","9"
"slightly","9"
"tables","9"
"text","9"
"therapy","9"
"times","9"
"turf","9"
"valley","9"
"veranda","9"
"vinyls","9"
"weeping","9"
"weight","9"
"when","9"
"adjustment","8"
"after","8"
"attenuation","8"
"banner","8"
"basin","8"
"battery","8"
"beadnell","8"
"before","8"
"betula","8"
"beyond","8"
"brass","8"
"breeding","8"
"bricks","8"
"camera","8"
"cellar","8"
"century","8"
"cinema","8"
"clay","8"
"coastal","8"
"collapsed","8"
"coloured","8"
"completed","8"
"comply","8"
"condensing","8"
"days","8"
"decayed","8"
"deep","8"
"defective","8"
"density","8"
"different","8"
"divide","8"
"dual","8"
"duct","8"
"dwarf","8"
"earthworks","8"
"educational","8"
"efficient","8"
"enclosures","8"
"evacuation","8"
"exhibition","8"
"exiting","8"
"expiry","8"
"felted","8"
"flashings","8"
"folded","8"
"forecourt","8"
"formal","8"
"fraxinus","8"
"graphic","8"
"gymnasium","8"
"habitat","8"
"hairdressers","8"
"hardwood","8"
"hearth","8"
"heavy","8"
"hostel","8"
"housetypes","8"
"inclusive","8"
"increasing","8"
"institutions","8"
"introduce","8"
"lawsons","8"
"life","8"
"livery","8"
"longer","8"
"medical","8"
"meters","8"
"monday","8"
"movement","8"
"multiple","8"
"museum","8"
"national","8"
"newly","8"
"odour","8"
"omitted","8"
"outhouses","8"
"outlet","8"
"overgrown","8"
"pantry","8"
"pear","8"
"people","8"
"photo","8"
"placed","8"
"plasterboard","8"
"plate","8"
"pollution","8"
"portakabin","8"
"positioning","8"
"principal","8"
"proof","8"
"reason","8"
"rebuilt","8"
"refurbish","8"
"regarding","8"
"rental","8"
"reorganisation","8"
"replacements","8"
"require","8"
"rest","8"
"routes","8"
"rrus","8"
"runs","8"
"sector","8"
"setting","8"
"sever","8"
"shaft","8"
"shooting","8"
"shutters","8"
"significant","8"
"sills","8"
"stained","8"
"swing","8"
"switch","8"
"tarmac","8"
"timbers","8"
"trellis","8"
"turn","8"
"union","8"
"urban","8"
"validation","8"
"veterinary","8"
"visitors","8"
"welsh","8"
"wingwall","8"
"without","8"
"written","8"
"yurts","8"
"activities","7"
"advertisements","7"
"aftercare","7"
"antique","7"
"applications","7"
"arcade","7"
"arched","7"
"awning","7"
"bakery","7"
"ball","7"
"bars","7"
"bedlington","7"
"better","7"
"bike","7"
"boat","7"
"bound","7"
"bridleway","7"
